time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,zone
2023-01-01,33.2,0.0,12.2,North West
2023-01-02,33.5,0.0,14.4,North West
2023-01-03,34.1,0.0,15.5,North West
2023-01-04,34.1,0.0,13.8,North West
2023-01-05,34.5,0.0,15.3,North West
2023-01-06,35.0,0.0,15.1,North West
2023-01-07,34.9,0.0,14.7,North West
2023-01-08,34.9,0.0,14.2,North West
2023-01-09,35.7,0.0,14.1,North West
2023-01-10,35.4,0.0,13.8,North West
2023-01-11,35.1,0.0,13.3,North West
2023-01-12,35.8,0.0,14.9,North West
2023-01-13,34.0,0.0,15.0,North West
2023-01-14,33.9,0.0,14.3,North West
2023-01-15,33.8,0.1,12.1,North West
2023-01-16,35.5,0.0,13.7,North West
2023-01-17,35.1,0.0,12.6,North West
2023-01-18,35.3,0.0,16.7,North West
2023-01-19,35.2,0.0,17.5,North West
2023-01-20,33.8,0.8,15.2,North West
2023-01-21,33.0,2.3,14.1,North West
2023-01-22,31.8,1.3,11.7,North West
2023-01-23,31.7,1.3,13.0,North West
2023-01-24,32.2,2.7,16.5,North West
2023-01-25,32.7,0.1,15.0,North West
2023-01-26,33.1,1.0,17.0,North West
2023-01-27,32.5,1.8,16.1,North West
2023-01-28,31.2,1.7,15.3,North West
2023-01-29,32.0,0.7,12.0,North West
2023-01-30,31.1,0.4,13.4,North West
2023-01-31,32.9,0.2,16.6,North West
2023-02-01,32.5,0.0,14.9,North West
2023-02-02,32.7,0.6,14.8,North West
2023-02-03,32.2,1.1,14.3,North West
2023-02-04,33.8,0.5,15.2,North West
2023-02-05,34.3,1.5,13.5,North West
2023-02-06,33.7,2.4,15.6,North West
2023-02-07,32.2,0.2,13.2,North West
2023-02-08,32.5,0.9,14.2,North West
2023-02-09,32.5,1.2,15.5,North West
2023-02-10,33.3,0.5,13.6,North West
2023-02-11,34.0,0.6,14.9,North West
2023-02-12,34.5,1.3,14.6,North West
2023-02-13,35.7,0.0,15.9,North West
2023-02-14,34.8,0.0,14.5,North West
2023-02-15,36.2,0.0,14.8,North West
2023-02-16,35.7,0.0,13.3,North West
2023-02-17,36.4,0.0,14.1,North West
2023-02-18,35.8,0.0,13.7,North West
2023-02-19,35.7,0.0,14.1,North West
2023-02-20,36.8,0.0,16.2,North West
2023-02-21,36.9,0.0,17.7,North West
2023-02-22,35.0,0.7,15.8,North West
2023-02-23,35.3,0.3,17.6,North West
